T,n_imp,real_n_conf,J,Lx,Ly,N_conf,Nt_measure,Nt_therm_init,W,bin_size,mass,measure_transport_freq,n_measure,n_therm,t,tp,Δω,β,η,μ,ω_max,Avg_d2_err,Avg_d2_mean,Avg_d4_err,Avg_d4_mean,B_global_err,B_global_mean,B_local_err,B_local_mean,D2_err,D2_mean,D4_err,D4_mean,DC_Conductivity_err,DC_Conductivity_mean,Delta_Amp_err,Delta_Amp_mean,Delta_Diff_err,Delta_Diff_mean,Delta_Glob_err,Delta_Glob_mean,Delta_Loc_err,Delta_Loc_mean,Delta_LocalPair_err,Delta_LocalPair_mean,Delta_Pair_err,Delta_Pair_mean,Energy_err,Energy_mean,Hole_p_err,Hole_p_mean,S_Delta_err,S_Delta_mean,Superfluid_Stiffness_err,Superfluid_Stiffness_mean
0.0001,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,10000.0,0.005,-1.0294222,0.8,6.257086786790507e-5,0.0034296878888750004,4.5919459158887467e-7,1.3396686220875e-5,3.0322836952596647e-6,0.4999416049881987,0.001482451319871727,0.43285476098946224,6.209170565525894e-5,0.0032926722687499996,4.0502473819413835e-7,1.0900765666625e-5,0.0017583185530783577,0.00178885435985005,0.0005335997131536469,0.05838368601000001,1.9170680895612864e-6,0.009736625584624998,0.0005446479275721991,0.057343815712499996,0.0005388890433281787,0.057881557045000004,0.0005438838729450526,0.057409877485000003,0.0005446088330099972,0.05734220332374999,0.33670801140628465,-17293.254985000003,0.00015895130956923332,0.16922452247500003,6.209648985818521e-5,0.00329290239675,0.0042516181652461505,0.18695187517499998
0.0005,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,2000.0,0.005,-1.0294222,0.8,6.226572782400117e-5,0.0033862379767499997,4.5471211863130856e-7,1.3339805475625001e-5,2.849442933828531e-5,0.499657612151336,0.0017116841972089252,0.4205716138540856,6.191171943489711e-5,0.0031992237563750006,3.9194696381559337e-7,1.0299372571249999e-5,0.15768986095883128,0.71307329547725,0.00048592128384624436,0.062049778215,4.680882303022204e-6,0.02176636568875,0.0005504569927806174,0.056516777522500006,0.0005178847444374003,0.05932276422625,0.0005474973899843473,0.0568615886575,0.0005513776524130443,0.056516584352499996,0.06729404594714358,-3457.050484375,0.00015690990746498507,0.16924918352500004,6.180079063415942e-5,0.0031994716262499995,0.004206757412763901,0.18088634039999998
0.001,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,1000.0,0.005,-1.0294222,0.8,6.206456745430434e-5,0.003329952518375,4.515214420593775e-7,1.3248922135874998e-5,4.8664179548978455e-5,0.49929111607256915,0.0019999045774025423,0.40477912731284427,6.184629430310064e-5,0.0030802319119999995,3.7781493855646993e-7,9.558374581999998e-6,0.15519640203446897,1.7554628369125,0.0004291048816393305,0.06702477269624998,5.4131049321533015e-6,0.03078733494750001,0.0005595550648263199,0.05544389516625001,0.00048708072359033,0.06134796091624999,0.0005533043216728232,0.05614927790375,0.0005609734345659692,0.05544758106625,0.033834224107381475,-1727.5235861249998,0.00015387555927491784,0.16927707361249997,6.169914442418779e-5,0.0030802619946249995,0.004235259770408879,0.1728127860625
0.005,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,200.0,0.005,-1.0294222,0.8,6.74403398180373e-5,0.00287236672575,4.7060687241338886e-7,1.216612220475e-5,0.0015243452799535203,0.49066183975580413,0.005820193093721919,0.2648697547698879,6.821465586619068e-5,0.0021073642852875007,2.7653394782292626e-7,4.585444731975e-6,0.07132692306335793,3.27671376225,0.00026884350182785943,0.10185303467875001,1.2969978895843393e-5,0.06875553876374998,0.0007722752193393817,0.045729717371250006,0.000354904188511755,0.0794748169475,0.0006722636203305632,0.05016510838375,0.0007711860086344095,0.04570439941874999,0.006877435910362583,-343.90394325,0.00014581534625469778,0.16955929947499995,6.826083608532681e-5,0.0021121857125375003,0.004157574154208785,0.11427197865874998
0.01,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,100.0,0.005,-1.0294222,0.8,6.142654775927456e-5,0.00228725507175,4.332521613462058e-7,9.717846574750001e-6,0.018759100608522462,0.3917440676194637,0.008013356267486265,0.07489958139807058,6.459270094589553e-5,0.00082733101489665,1.0791490799779035e-7,8.615004733466041e-7,0.056801227091398135,3.7584136637499994,0.00017765934139411013,0.13404943633750002,1.8306528550972603e-5,0.09709830615499998,0.0012618581956705943,0.02773627990145,0.0002425191235011354,0.09906274832625,0.0006412344737942457,0.04281891755625,0.0012604096141864292,0.027614702691175004,0.003543951348389747,-170.9520064375,0.00013303530705193833,0.17004257942499998,6.509751229335725e-5,0.0008377572999441627,0.00433967009489599,0.03795773929297725
0.015,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,66.66666666666667,0.005,-1.0294222,0.8,1.755904023729821e-5,0.0023248406687499997,1.4615973815418648e-7,1.0631001538499998e-5,0.018101193723214275,0.14115973385457714,0.0014533001110073412,0.017060504679312513,1.5791989627473575e-5,0.00022224401327284002,1.2038904965560731e-8,8.881163993028686e-8,0.026188845775781365,3.80011436675,4.419913202607314e-5,0.16144681385,1.5454545490533716e-5,0.118897657325,0.0005092448731775628,0.013838002916712498,5.510254414810241e-5,0.11764808682499997,0.00016990598383182274,0.04279587174874999,0.0005029290538245161,0.013412067346420004,0.002103725141283216,-113.3088701625,0.00010075063568523581,0.1711508431625,1.657490584290477e-5,0.00023715091739980499,0.0013962776966653487,0.004085119383043125
0.02,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,50.0,0.005,-1.0294222,0.8,9.91321388952588e-6,0.002777260905625,9.92323528798543e-8,1.5119441146249998e-5,0.01563103997530136,0.05360694325189353,0.0006720598073502659,0.020022038959703822,7.213508799257305e-6,0.00012772233657923124,3.814865559196348e-9,3.227451495802688e-8,0.019084776503662474,3.5175580116250003,3.295208399106286e-5,0.18562581823750007,1.8080115144555745e-5,0.13740451323750003,0.00029102087693404455,0.010737616652323747,3.317661776084073e-5,0.13484018625000002,8.759814383701589e-5,0.04680044673375,0.00027840690879732193,0.010017948237337503,0.0016362684790272993,-84.49281875375,9.531012802825567e-5,0.17261768593749996,8.108458527109593e-6,0.00014702763151434926,0.0008068639336386714,0.0031592394646975624
0.025,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,40.0,0.005,-1.0294222,0.8,7.696065601013546e-6,0.0032502388191250004,9.153926734550453e-8,2.059070649125e-5,0.01591814189453907,0.036705272109175756,0.0004079159582957393,0.025496824135722657,4.037031365583493e-6,9.781613631189499e-5,1.6932939679698696e-9,1.892480624726067e-8,0.013873664091670205,3.253285411125,3.499131948141724e-5,0.20697106448749997,2.029427379340283e-5,0.153752207675,0.00019259864828164884,0.00975811597268875,3.1609011598151796e-5,0.15008772490000002,6.256808488845425e-5,0.05066874099624999,0.00017988130624848692,0.008772922433449999,0.0012332097796364904,-67.20571892625,9.217717626604489e-5,0.17410241433749998,4.830639375660262e-6,0.00012134452901260637,0.0005088758940999705,0.004857540559809375
0.03,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,33.333333333333336,0.005,-1.0294222,0.8,6.083371172610491e-6,0.0037073321111249996,8.253785903463154e-8,2.66433766525e-5,0.01518072632936565,0.018723752166865275,0.00031304627223056224,0.030778929194434868,3.104595952506707e-6,8.299327778913601e-5,1.1139968885592121e-9,1.3816442377078716e-8,0.010201104561358308,3.0233639575,3.0228215356551307e-5,0.22625934342499998,1.550102333634756e-5,0.16858416410000002,0.00016633359583149927,0.0093064872969125,2.612813288079566e-5,0.16387316925000003,4.6319751892024894e-5,0.054157089874999995,0.00014853874179030576,0.0080663280061175,0.0009566798615419305,-55.6825612975,8.932427711030157e-5,0.1755720303375,4.037650350609567e-6,0.00011069925475886497,0.00035068098971117437,0.006306809204891875
0.04,0.1,16,0.8,40,40,16,8,26,1.0,5,1.0,1,500,50,1.0,-0.35,0.001,25.0,0.005,-1.0294222,0.8,5.161664922228053e-6,0.004558097912375,8.339221880725581e-8,3.99116712025e-5,0.015127403393639863,0.012706041427510403,0.00030128589796304,0.039500639426419584,1.5216104437868263e-6,6.8262350433305e-5,5.011545024355288e-10,9.319176282960995e-9,0.005925070678637833,2.6549867696249994,3.1039036445559494e-5,0.2603418390125,1.8439927012305153e-5,0.19497773223749998,8.791815102483967e-5,0.009019018287638752,3.230313326228531e-5,0.1882132124,3.594093366026697e-5,0.06012683807375,7.235300446514389e-5,0.0073291056331625,0.0007683087327262305,-41.28296141125001,8.406830424790443e-5,0.17844826568749997,2.326258096994587e-6,0.00010361233794964626,0.0001590097317877582,0.00782463621791764
